EM,Bins
0.15057343692193859,5
0.17659390800345295,15
0.1809954751131222,26
0.18287293953220704,36
0.18835754153999582,46
0.18975018011176664,57
0.18550422140131748,67
0.19145394006659266,78
0.18947802105404768,88
0.19117080794581987,98
0.1909363364525315,109
0.1929539851456676,119
0.1940422212471357,129
0.19593309021721894,140
0.19584412381304722,150
