d_nem,nem,sigma
29.71615312791784,38.75070028011204,0.01
30.648668916385457,36.92913385826772,0.02
33.146288639495964,36.34376845835794,0.03
33.052232854864435,36.41746411483254,0.04
30.98454493417287,35.28143484067926,0.05
25.582904025949247,31.909940850982636,0.060000000000000005
19.760643515793603,26.827545615067688,0.06999999999999999
11.77494199535963,23.352668213457076,0.08
1.5617848970251718,23.018688024408853,0.09
-8.663603293126556,26.059735784032167,0.09999999999999999
-20.042267050912585,31.71565802113353,0.11
-31.50852980640215,39.570634464251484,0.12
-42.62492474413004,48.4166164960867,0.13
-53.500485908649175,57.71039844509232,0.14
-64.93008314436887,68.04421768707483,0.15000000000000002
-77.99099606077658,80.5908835115363,0.16
-90.343961352657,92.18357487922705,0.17
-99.89021956087825,101.47105788423154,0.18000000000000002
-112.33894370284388,113.67382472431807,0.19
-125.69101123595507,126.60861423220975,0.2
