d_nem,nem,sigma
45.88418544988089,48.96280007330035,0.01
43.21296296296296,46.25370370370371,0.019999999999999997
40.58396808124773,43.29343489299964,0.03
39.379719525350595,40.99065084501978,0.039999999999999994
36.90411455501178,38.60068878013413,0.049999999999999996
33.00979848400814,34.43704936217416,0.05999999999999999
28.261747430249635,30.086270190895743,0.06999999999999999
25.129589632829376,26.82505399568035,0.07999999999999999
19.9359316604378,22.836803701726286,0.08999999999999998
16.055289739500267,20.570618465355306,0.09999999999999998
12.575031077961285,19.937844077428522,0.10999999999999997
8.66995975118917,20.203073545554336,0.11999999999999998
5.580701754385966,21.124561403508775,0.12999999999999998
1.1268839817735716,21.880476691202244,0.13999999999999999
-1.4164904862579284,23.735024665257225,0.15
-5.973669775095996,25.61894313402816,0.15999999999999998
-9.84754376058724,28.100884622623752,0.16999999999999998
-13.758151667598288,30.5757406372275,0.18
-18.4287812041116,33.06901615271659,0.18999999999999997
-23.170954205436963,34.71994161649334,0.19999999999999998
-27.851449275362324,37.061594202898554,0.20999999999999996
-31.869962385814084,39.64714311302167,0.21999999999999997
-37.273049645390074,43.95390070921986,0.22999999999999998
-42.27629233511587,48.89661319073084,0.23999999999999996
-47.766397124887696,53.95867026055705,0.24999999999999997
-54.375442321302195,59.73637650389243,0.25999999999999995
-60.269934292310424,65.98827916888652,0.26999999999999996
-66.12874779541447,71.94885361552028,0.27999999999999997
-72.65360169491527,77.95727401129943,0.29
-77.8411513859275,83.544776119403,0.3
