d_nem,nem,sigma
72.8422035480859,73.39495798319328,0.01
64.91563554555681,65.45556805399325,0.02
59.37586139003741,60.53750738334318,0.03
53.47089314194579,54.55940988835726,0.04
44.47624499141386,46.105705018126315,0.05
35.084907460408324,38.008013737836286,0.060000000000000005
26.227192466156566,31.559741024131842,0.06999999999999999
12.345320959010055,24.10479505027069,0.08
3.81769641495042,22.17391304347826,0.09
-5.510243155274747,24.51464675473866,0.09999999999999999
-13.500480307396733,28.89721421709894,0.11
-18.47996933103316,31.824803526931188,0.12
-28.422636965683328,35.50270921131848,0.13
-24.285714285714285,34.78522837706512,0.14
-31.611866969009828,39.66931216931217,0.15000000000000002
-29.212155317951606,38.595010317013696,0.16
-38.64734299516908,43.93429951690821,0.17
-46.56087824351298,49.86227544910181,0.18000000000000002
-55.50203134068485,57.069065583284974,0.19
-60.88389513108615,62.49438202247192,0.2
