d_nem,nem,sigma
55.083099906629315,57.260504201680675,0.01
50.75553055868017,52.54780652418448,0.02
48.78322504430007,50.45284504823784,0.03
52.63556618819777,53.08612440191388,0.04
45.77370730776569,46.24689944667048,0.05
38.107231444380844,38.7864911276474,0.060000000000000005
30.455169707671182,32.248381400824016,0.06999999999999999
20.668986852281517,24.334880123743236,0.08
11.744851258581237,19.08657513348589,0.09
3.2165422171166,19.126938541068352,0.09999999999999999
-6.2094140249759855,20.87223823246878,0.11
-10.546290971822888,22.879049262027987,0.12
-22.177403170780657,28.759783263094523,0.13
-29.310009718172985,36.02332361516035,0.14
-38.14436885865457,44.25925925925927,0.15000000000000002
-49.43350215719378,54.1455636841118,0.16
-59.24444444444445,62.35942028985508,0.17
-68.02994011976048,70.69660678642715,0.18000000000000002
-76.92396982008127,78.29367382472432,0.19
-87.6629213483146,88.54681647940076,0.2
