d_nem,nem,sigma
69.93769470404985,71.1434854315558,0.01
67.9074074074074,69.05925925925926,0.019999999999999997
63.65614798694232,64.52665941240478,0.03
58.86731391585761,60.03595828838548,0.039999999999999994
52.71886895051659,54.139931121986585,0.049999999999999996
46.28581992974672,47.93492327602145,0.05999999999999999
40.57268722466961,42.639500734214394,0.06999999999999999
37.56299496040317,40.28797696184305,0.07999999999999999
35.51343655454707,39.232959601352555,0.08999999999999998
34.89810384547227,39.541024277866384,0.09999999999999998
34.03835908364412,39.62884034807317,0.10999999999999997
31.256860592755213,38.92974753018661,0.11999999999999998
29.703508771929826,38.39824561403509,0.12999999999999998
26.72099544339292,36.37399228881878,0.13999999999999999
24.53664552501762,34.240662438336855,0.15
19.665386725178276,30.771621868714575,0.15999999999999998
15.140222096743837,27.882552230378323,0.16999999999999998
9.062791130985653,25.5300912986771,0.18
3.3994126284875184,25.245961820851694,0.18999999999999997
-3.5869366903849667,24.896916621054554,0.19999999999999998
-9.22644927536232,26.190217391304348,0.20999999999999996
-15.020598244671323,28.71216192011463,0.21999999999999997
-22.510638297872344,32.968085106382986,0.22999999999999998
-28.695187165775405,38.71301247771836,0.23999999999999996
-35.35489667565139,45.144654088050316,0.24999999999999997
-43.02193913658881,51.58527954706299,0.25999999999999995
-50.32143491386966,58.145977623867886,0.26999999999999996
-57.280423280423285,64.4867724867725,0.27999999999999997
-64.24788135593221,70.9816384180791,0.29
-71.12473347547976,76.9633972992182,0.3
