d_nem,nem,sigma
22.98882169690306,44.38152831225948,0.01
27.47222222222222,42.47222222222222,0.019999999999999997
29.63728690605731,41.03373231773667,0.03
31.708018698309964,39.15138439410284,0.039999999999999994
32.49954685517491,38.194671016856994,0.049999999999999996
31.50489924200407,35.3910149750416,0.05999999999999999
30.93061674008811,33.73898678414097,0.06999999999999999
30.16738660907128,32.25161987041037,0.07999999999999999
30.366613276383703,31.857981847303797,0.08999999999999998
29.500265816055293,31.0561757930179,0.09999999999999998
29.261232463150417,30.898597052033388,0.10999999999999997
28.329674350530553,30.345773874862793,0.11999999999999998
26.48245614035088,29.082456140350878,0.12999999999999998
23.855590606379252,27.31510690501227,0.13999999999999999
20.873854827343198,25.637773079633547,0.15
17.012250868531726,23.419272261839463,0.15999999999999998
12.121212121212121,21.182006399397704,0.16999999999999998
7.398919321781257,20.03912800447177,0.18
1.7712922173274595,18.984948604992656,0.18999999999999997
-3.776683087027915,19.616858237547895,0.19999999999999998
-9.391304347826086,21.554347826086957,0.20999999999999996
-16.829661472326706,24.588930682428806,0.21999999999999997
-23.267730496453904,28.554964539007095,0.22999999999999998
-29.866310160427805,34.140819964349376,0.23999999999999996
-37.41419586702606,40.22461814914645,0.24999999999999997
-44.70099079971692,46.73213021939137,0.25999999999999995
-51.53791511276861,53.026105487480024,0.26999999999999996
-59.09700176366843,60.19753086419753,0.27999999999999997
-66.44244350282487,67.1098163841808,0.29
-74.52914001421465,75.13326226012794,0.3
