d_nem,nem,sigma
49.89371449514386,55.83470771486164,0.01
47.31851851851852,51.25555555555555,0.019999999999999997
46.2259702575263,49.30903155603917,0.03
45.86120100683208,47.33908665947501,0.039999999999999994
42.66086641290556,44.22693492840312,0.049999999999999996
39.351081530782025,40.3235348493252,0.05999999999999999
34.6787812041116,35.94162995594714,0.06999999999999999
30.43196544276458,31.933045356371494,0.07999999999999999
26.07403452571632,27.87862609005161,0.08999999999999998
20.404040404040405,22.90979975190502,0.09999999999999998
14.457467590126088,18.76931273308471,0.10999999999999997
9.052323454079767,16.32272228320527,0.11999999999999998
1.787719298245614,15.163157894736843,0.12999999999999998
-5.285664213109008,16.452856642131092,0.13999999999999999
-12.736081747709656,20.350599013389715,0.15
-20.77345035655513,25.772536112634853,0.15999999999999998
-28.338038772821385,32.697157914549216,0.16999999999999998
-35.65306502701696,39.63294205328861,0.18
-44.107929515418505,47.45594713656388,0.18999999999999997
-51.71136653895275,54.58310527276045,0.19999999999999998
-59.32065217391305,62.22282608695653,0.20999999999999996
-67.87032061615619,70.01253806197386,0.21999999999999997
-75.09751773049645,76.8918439716312,0.22999999999999998
-83.7361853832442,84.92691622103388,0.23999999999999996
-90.94699011680146,92.2156334231806,0.24999999999999997
-98.95789101203114,99.85314932767163,0.25999999999999995
-107.31664002841414,108.3999289646599,0.26999999999999996
-114.9241622574956,115.96825396825399,0.27999999999999997
-122.78954802259886,123.63700564971751,0.29
-130.99680170575695,131.9171997157072,0.3
