d_nem,nem,sigma
27.861462341946126,38.819864394355875,0.01
30.99074074074074,37.416666666666664,0.019999999999999997
32.33224519405151,36.45629307217991,0.03
33.87090974469616,35.97446961524632,0.039999999999999994
34.863150262824,35.96882363603408,0.049999999999999996
34.474024773525606,34.98428545017563,0.05999999999999999
34.11527165932453,34.44566813509545,0.06999999999999999
31.56407487401008,31.83405327573794,0.07999999999999999
28.200747463961562,28.46769887880406,0.08999999999999998
22.77157540315435,23.374091795144427,0.09999999999999998
17.11418930918132,18.72313976203161,0.10999999999999997
10.148188803512625,14.524332235638493,0.11999999999999998
3.1877192982456144,12.580701754385965,0.12999999999999998
-5.063091482649843,13.496319663512093,0.13999999999999999
-13.021494009866103,17.327343199436225,0.15
-21.11537758273907,23.627719875662827,0.15999999999999998
-29.642386598908338,30.99755317146622,0.16999999999999998
-38.604434507173465,39.35345630706168,0.18
-47.270558002936866,47.73678414096917,0.18999999999999997
-56.02992154716293,56.26710454296662,0.19999999999999998
-65.3677536231884,65.57427536231884,0.20999999999999996
-74.40265090453163,74.56743686190221,0.21999999999999997
-83.32624113475178,83.43971631205673,0.22999999999999998
-92.37967914438502,92.4866310160428,0.23999999999999996
-101.44654088050315,101.54716981132077,0.24999999999999997
-110.54670912951168,110.62809624911536,0.25999999999999995
-119.71585863967324,119.77623867874267,0.26999999999999996
-128.98765432098767,129.01587301587304,0.27999999999999997
-137.5,137.51765536723164,0.29
-146.55117270788912,146.5724946695096,0.3
