date,lowerIV,higherIV,actualIV
2019-04-02,0.115,0.131,0.149
2019-04-03,0.119,0.152,0.166
2019-04-04,0.128,0.164,0.147
2019-04-09,0.105,0.137,0.146
2019-04-10,0.128,0.163,0.159
2019-04-11,0.116,0.155,0.148
2019-04-16,0.097,0.125,0.156
2019-04-18,0.111,0.148,0.153
2019-04-24,0.13,0.156,0.166
2019-04-25,0.129,0.162,0.162
2019-05-07,0.169,0.183,0.259
2019-05-08,0.15,0.181,0.242
2019-05-10,0.151,0.187,0.235
2019-05-13,0.184,0.196,0.299
2019-05-15,0.167,0.181,0.313
2019-05-22,0.152,0.168,0.331
2019-05-23,0.181,0.199,0.206
2019-05-29,0.129,0.143,0.135
2019-06-04,0.122,0.137,0.127
2019-06-10,0.162,0.176,0.115
2019-06-11,0.132,0.151,0.113
2019-06-12,0.154,0.174,0.112
2019-06-14,0.142,0.167,0.112
2019-06-17,0.137,0.157,0.134
2019-06-19,0.115,0.144,0.126
2019-06-25,0.115,0.135,0.132
2019-06-26,0.113,0.132,0.142
2019-06-28,0.128,0.153,0.143
2019-07-01,0.107,0.128,0.146
2019-07-03,0.114,0.14,0.135
2019-07-05,0.121,0.155,0.109
2019-07-10,0.154,0.187,0.118
2019-07-17,0.073,0.113,0.092
2019-07-24,0.15,0.176,0.115
2019-07-25,0.106,0.141,0.121
2019-07-26,0.096,0.131,0.109
2019-07-29,0.116,0.139,0.117
2019-07-30,0.124,0.149,0.121
2019-08-01,0.125,0.157,0.133
2019-08-02,0.125,0.152,0.146
2019-08-05,0.152,0.168,0.166
2019-08-06,0.131,0.152,0.156
2019-08-07,0.156,0.174,0.152
2019-08-08,0.121,0.14,0.149
2019-08-09,0.104,0.138,0.136
2019-08-13,0.138,0.158,0.155
2019-08-14,0.111,0.132,0.135
2019-08-16,0.112,0.14,0.149
2019-08-19,0.123,0.142,0.151
2019-08-20,0.119,0.143,0.155
2019-08-21,0.134,0.159,0.16
2019-08-22,0.155,0.178,0.151
2019-08-23,0.117,0.147,0.166
2019-08-26,0.108,0.122,0.147
2019-08-28,0.12,0.143,0.155
2019-08-29,0.13,0.155,0.17
2019-08-30,0.111,0.141,0.139
2019-09-03,0.159,0.175,0.178
2019-09-04,0.131,0.153,0.17
2019-09-05,0.12,0.147,0.163
2019-09-06,0.112,0.142,0.141
2019-09-09,0.105,0.122,0.139
2019-09-11,0.093,0.125,0.14
2019-09-12,0.108,0.149,0.129
2019-09-13,0.063,0.12,0.125
2019-09-16,0.114,0.14,0.142
2019-09-17,0.138,0.162,0.166
2019-09-18,0.117,0.145,0.149
2019-09-19,0.147,0.173,0.142
2019-09-20,0.143,0.159,0.151
2019-09-23,0.102,0.115,0.151
2019-09-24,0.141,0.154,0.167
2019-09-25,0.16,0.175,0.175
2019-09-26,0.139,0.158,0.16
2019-09-27,0.151,0.17,0.162
2019-09-30,0.15,0.164,0.152
2019-10-01,0.162,0.176,0.173
2019-10-03,0.166,0.182,0.178
2019-10-04,0.181,0.198,0.172
2019-10-07,0.167,0.18,0.177
2019-10-09,0.147,0.162,0.162
2019-10-10,0.174,0.191,0.159
2019-10-11,0.161,0.179,0.15
2019-10-14,0.149,0.163,0.153
2019-10-15,0.145,0.159,0.149
2019-10-16,0.153,0.17,0.138
2019-10-17,0.145,0.161,0.136
2019-10-18,0.151,0.166,0.135
2019-10-22,0.105,0.132,0.168
2019-10-23,0.107,0.134,0.158
2019-10-24,0.111,0.139,0.16
2019-10-25,0.114,0.144,0.145
2019-10-27,0.091,0.136,0.133
2019-10-29,0.093,0.107,0.159
2019-10-30,0.102,0.122,0.153
2019-10-31,0.11,0.137,0.14
2019-11-01,0.103,0.137,0.132
2019-11-04,0.121,0.136,0.141
2019-11-05,0.123,0.143,0.139
2019-11-06,0.105,0.13,0.138
2019-11-07,0.095,0.127,0.127
2019-11-08,0.098,0.138,0.134
2019-11-11,0.097,0.122,0.138
2019-11-13,0.096,0.133,0.136
2019-11-14,0.087,0.122,0.13
2019-11-15,0.074,0.117,0.137
2019-11-18,0.088,0.121,0.141
2019-11-19,0.074,0.111,0.135
2019-11-20,0.068,0.109,0.131
2019-11-21,0.087,0.124,0.124
2019-11-22,0.087,0.127,0.117
2019-11-25,0.082,0.101,0.134
2019-11-26,0.088,0.12,0.147
2019-11-27,0.088,0.117,0.125
2019-11-28,0.074,0.108,0.106
2019-11-29,0.094,0.131,0.117
2019-12-02,0.089,0.114,0.122
2019-12-03,0.093,0.122,0.127
2019-12-04,0.079,0.115,0.118
2019-12-05,0.088,0.123,0.106
2019-12-06,0.111,0.144,0.121
2019-12-09,0.093,0.127,0.123
2019-12-10,0.111,0.141,0.135
2019-12-11,0.094,0.129,0.118
2019-12-12,0.08,0.124,0.13
2019-12-13,0.072,0.121,0.131
2019-12-16,0.096,0.125,0.123
2019-12-17,0.075,0.107,0.114
2019-12-18,0.077,0.11,0.111
2019-12-19,0.079,0.114,0.101
2019-12-20,0.064,0.11,0.107
2019-12-23,0.069,0.101,0.112
2019-12-24,0.067,0.107,0.112
2019-12-26,0.072,0.114,0.108
2019-12-27,0.053,0.096,0.099
2019-12-30,0.071,0.099,0.107
2019-12-31,0.089,0.12,0.121
2020-01-01,0.069,0.106,0.105
2020-01-02,0.055,0.092,0.098
2020-01-03,0.082,0.122,0.097
2020-01-06,0.11,0.137,0.141
2020-01-07,0.079,0.112,0.135
2020-01-08,0.094,0.13,0.142
2020-01-09,0.065,0.103,0.126
2020-01-10,0.07,0.11,0.119
2020-01-13,0.074,0.099,0.123
2020-01-14,0.074,0.102,0.124
2020-01-15,0.072,0.105,0.122
2020-01-16,0.064,0.103,0.115
2020-01-17,0.063,0.107,0.12
2020-01-20,0.096,0.127,0.15
2020-01-21,0.11,0.138,0.153
2020-01-22,0.111,0.141,0.164
2020-01-23,0.089,0.125,0.149
2020-01-24,0.082,0.121,0.149
2020-01-27,0.126,0.151,0.186
