date,lowerIV,higherIV,actualIV
2020-01-28,0.122,0.147,0.192
2020-01-29,0.094,0.129,0.171
2020-01-30,0.109,0.146,0.179
2020-01-31,0.124,0.157,0.201
2020-02-01,0.181,0.206,0.16
2020-02-03,0.133,0.149,0.128
2020-02-04,0.101,0.122,0.108
2020-02-05,0.092,0.12,0.107
2020-02-06,0.081,0.118,0.103
2020-02-07,0.093,0.129,0.099
2020-02-10,0.108,0.13,0.114
2020-02-11,0.096,0.116,0.112
2020-02-12,0.092,0.114,0.111
2020-02-13,0.104,0.133,0.097
2020-02-14,0.095,0.127,0.112
2020-02-17,0.116,0.139,0.132
2020-02-18,0.112,0.138,0.124
2020-02-19,0.087,0.116,0.113
2020-02-20,0.107,0.136,0.108
2020-02-24,0.141,0.161,0.149
2020-02-25,0.129,0.15,0.156
2020-02-26,0.158,0.175,0.17
2020-02-27,0.149,0.17,0.156
2020-02-28,0.248,0.264,0.211
2020-03-02,0.179,0.193,0.233
2020-03-03,0.16,0.176,0.23
2020-03-04,0.173,0.189,0.222
2020-03-05,0.162,0.18,0.196
2020-03-06,0.237,0.254,0.211
2020-03-09,0.286,0.3,0.315
2020-03-11,0.255,0.271,0.31
2020-03-13,0.336,0.352,0.567
2020-03-16,0.331,0.344,0.703
2020-03-17,0.356,0.37,0.767
2020-03-18,0.434,0.449,0.749
2020-03-19,0.4,0.415,0.855
2020-03-20,0.351,0.368,0.736
2020-03-24,0.288,0.296,0.841
2020-03-25,0.303,0.313,0.779
2020-03-26,0.291,0.302,0.67
2020-03-27,0.387,0.401,0.695
2020-03-30,0.31,0.319,0.693
2020-03-31,0.276,0.286,0.61
2020-04-01,0.378,0.39,0.548
2020-04-03,0.449,0.464,0.484
2020-04-07,0.323,0.337,0.515
2020-04-08,0.351,0.365,0.493
2020-04-09,0.303,0.318,0.408
2020-04-13,0.332,0.344,0.49
2020-04-15,0.304,0.318,0.481
