date,lowerIV,higherIV,actualIV
2020-03-18,0.424,0.439,0.749
2020-03-19,0.346,0.362,0.855
2020-03-20,0.34,0.357,0.734
2020-03-24,0.238,0.246,0.841
2020-03-25,0.282,0.292,0.776
2020-03-26,0.295,0.305,0.669
2020-03-27,0.363,0.377,0.695
2020-03-30,0.293,0.302,0.69
2020-03-31,0.284,0.294,0.607
2020-04-01,0.369,0.381,0.548
2020-04-03,0.463,0.477,0.48
2020-04-07,0.286,0.299,0.515
2020-04-08,0.317,0.33,0.493
2020-04-09,0.293,0.308,0.408
2020-04-13,0.246,0.259,0.49
2020-04-15,0.255,0.27,0.482
