date,lowerIV,higherIV,actualIV
2019-04-02,0.117,0.134,0.146
2019-04-03,0.101,0.134,0.164
2019-04-04,0.1,0.14,0.145
2019-04-09,0.105,0.137,0.146
2019-04-10,0.12,0.152,0.159
2019-04-11,0.107,0.147,0.146
2019-04-16,0.121,0.146,0.158
2019-04-18,0.117,0.152,0.153
2019-04-24,0.114,0.141,0.164
2019-04-25,0.109,0.142,0.162
2019-05-07,0.105,0.133,0.259
2019-05-08,0.111,0.145,0.24
2019-05-10,0.12,0.157,0.235
2019-05-13,0.13,0.144,0.299
2019-05-15,0.135,0.151,0.313
2019-05-22,0.13,0.153,0.336
2019-05-23,0.162,0.181,0.207
2019-05-29,0.127,0.141,0.135
2019-06-04,0.128,0.145,0.125
2019-06-10,0.131,0.146,0.115
2019-06-11,0.142,0.158,0.113
2019-06-12,0.129,0.15,0.11
2019-06-14,0.134,0.156,0.112
2019-06-17,0.145,0.16,0.134
2019-06-19,0.125,0.146,0.127
2019-06-25,0.123,0.138,0.131
2019-06-26,0.117,0.134,0.142
2019-06-28,0.126,0.148,0.142
2019-07-01,0.124,0.14,0.147
2019-07-03,0.108,0.13,0.134
2019-07-05,0.114,0.148,0.108
2019-07-10,0.103,0.143,0.118
2019-07-17,0.098,0.133,0.09
2019-07-24,0.106,0.142,0.115
2019-07-25,0.115,0.145,0.121
2019-07-26,0.115,0.144,0.109
2019-07-29,0.127,0.146,0.117
2019-07-30,0.138,0.154,0.121
2019-08-01,0.13,0.154,0.133
2019-08-02,0.121,0.148,0.146
2019-08-05,0.139,0.155,0.166
2019-08-06,0.135,0.152,0.154
2019-08-07,0.154,0.172,0.152
2019-08-08,0.15,0.168,0.147
2019-08-09,0.147,0.167,0.135
2019-08-13,0.157,0.172,0.152
2019-08-14,0.149,0.164,0.132
2019-08-16,0.144,0.162,0.148
2019-08-19,0.13,0.145,0.15
2019-08-20,0.14,0.155,0.154
2019-08-21,0.146,0.163,0.16
2019-08-22,0.163,0.18,0.152
2019-08-23,0.155,0.172,0.166
2019-08-26,0.138,0.153,0.151
2019-08-28,0.12,0.14,0.154
2019-08-29,0.137,0.154,0.169
2019-08-30,0.113,0.144,0.14
2019-09-03,0.14,0.157,0.178
2019-09-04,0.116,0.139,0.168
2019-09-05,0.117,0.144,0.163
2019-09-06,0.103,0.134,0.141
2019-09-09,0.111,0.13,0.141
2019-09-11,0.111,0.139,0.141
2019-09-12,0.084,0.129,0.128
2019-09-13,0.087,0.133,0.128
2019-09-16,0.1,0.126,0.142
2019-09-17,0.121,0.146,0.166
2019-09-18,0.115,0.14,0.147
2019-09-19,0.112,0.141,0.142
2019-09-20,0.157,0.174,0.153
2019-09-23,0.133,0.146,0.153
2019-09-24,0.146,0.16,0.167
2019-09-25,0.154,0.168,0.172
2019-09-26,0.149,0.165,0.16
2019-09-27,0.152,0.169,0.163
2019-09-30,0.148,0.161,0.151
2019-10-01,0.148,0.162,0.174
2019-10-03,0.157,0.173,0.178
2019-10-04,0.159,0.176,0.171
2019-10-07,0.152,0.166,0.177
2019-10-09,0.144,0.16,0.162
2019-10-10,0.155,0.171,0.16
2019-10-11,0.15,0.173,0.15
2019-10-14,0.15,0.163,0.154
2019-10-15,0.144,0.158,0.149
2019-10-16,0.142,0.157,0.139
2019-10-17,0.148,0.164,0.136
2019-10-18,0.144,0.16,0.135
2019-10-22,0.115,0.142,0.168
2019-10-23,0.122,0.142,0.157
2019-10-24,0.131,0.151,0.161
2019-10-25,0.12,0.144,0.145
2019-10-27,0.118,0.152,0.134
2019-10-29,0.111,0.126,0.16
2019-10-30,0.114,0.134,0.154
2019-10-31,0.11,0.135,0.141
2019-11-01,0.116,0.145,0.133
2019-11-04,0.109,0.124,0.14
2019-11-05,0.119,0.135,0.137
2019-11-06,0.115,0.136,0.14
2019-11-07,0.099,0.125,0.126
2019-11-08,0.076,0.121,0.131
2019-11-11,0.073,0.105,0.136
2019-11-13,0.071,0.116,0.135
2019-11-14,0.075,0.114,0.129
2019-11-15,0.076,0.119,0.134
2019-11-18,0.077,0.111,0.142
2019-11-19,0.062,0.101,0.134
2019-11-20,0.065,0.107,0.13
2019-11-21,0.064,0.107,0.123
2019-11-22,0.065,0.111,0.116
2019-11-25,0.08,0.1,0.135
2019-11-26,0.084,0.117,0.144
2019-11-27,0.096,0.119,0.124
2019-11-28,0.094,0.121,0.107
2019-11-29,0.098,0.13,0.116
2019-12-02,0.103,0.122,0.122
2019-12-03,0.092,0.119,0.126
2019-12-04,0.092,0.124,0.119
2019-12-05,0.107,0.133,0.106
2019-12-06,0.11,0.14,0.121
2019-12-09,0.104,0.131,0.123
2019-12-10,0.108,0.134,0.133
2019-12-11,0.109,0.136,0.118
2019-12-12,0.102,0.139,0.137
2019-12-13,0.094,0.134,0.141
2019-12-16,0.106,0.129,0.123
2019-12-17,0.111,0.131,0.116
2019-12-18,0.105,0.128,0.113
2019-12-19,0.104,0.13,0.101
2019-12-20,0.098,0.132,0.11
2019-12-23,0.068,0.098,0.111
2019-12-24,0.068,0.107,0.11
2019-12-26,0.07,0.111,0.107
2019-12-27,0.067,0.105,0.099
2019-12-30,0.075,0.1,0.105
2019-12-31,0.077,0.108,0.119
2020-01-01,0.074,0.108,0.104
2020-01-02,0.064,0.099,0.098
2020-01-03,0.072,0.113,0.096
2020-01-06,0.076,0.11,0.135
2020-01-07,0.07,0.106,0.132
2020-01-08,0.07,0.109,0.14
2020-01-09,0.078,0.111,0.128
2020-01-10,0.084,0.118,0.118
2020-01-13,0.076,0.098,0.123
2020-01-14,0.079,0.105,0.123
2020-01-15,0.078,0.108,0.123
2020-01-16,0.076,0.109,0.114
2020-01-17,0.075,0.114,0.121
2020-01-20,0.093,0.123,0.152
2020-01-21,0.094,0.123,0.153
2020-01-22,0.095,0.125,0.165
2020-01-23,0.095,0.129,0.149
2020-01-24,0.089,0.125,0.15
2020-01-27,0.095,0.122,0.185
2020-01-28,0.101,0.129,0.194
2020-01-29,0.092,0.127,0.172
2020-01-30,0.097,0.134,0.181
2020-01-31,0.086,0.127,0.2
2020-02-01,0.113,0.152,0.16
2020-02-03,0.114,0.133,0.128
2020-02-04,0.117,0.137,0.105
2020-02-05,0.114,0.135,0.104
2020-02-06,0.11,0.14,0.101
2020-02-07,0.112,0.142,0.099
2020-02-10,0.12,0.138,0.113
2020-02-11,0.122,0.138,0.112
2020-02-12,0.119,0.138,0.114
2020-02-13,0.107,0.13,0.097
2020-02-14,0.114,0.141,0.116
2020-02-17,0.112,0.134,0.132
2020-02-18,0.115,0.139,0.126
2020-02-19,0.113,0.136,0.114
2020-02-20,0.104,0.131,0.109
2020-02-24,0.128,0.145,0.149
2020-02-25,0.13,0.147,0.155
2020-02-26,0.131,0.149,0.169
2020-02-27,0.131,0.148,0.155
2020-02-28,0.156,0.175,0.211
2020-03-02,0.164,0.178,0.233
2020-03-03,0.152,0.168,0.232
2020-03-04,0.166,0.183,0.222
2020-03-05,0.165,0.183,0.196
2020-03-06,0.189,0.207,0.211
2020-03-09,0.219,0.234,0.315
2020-03-11,0.222,0.237,0.308
2020-03-13,0.289,0.307,0.566
2020-03-16,0.335,0.347,0.703
2020-03-17,0.339,0.353,0.767
