date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2020-01-14,0.086,0.112,0.122,0.08,0.139
2020-01-15,0.087,0.116,0.122,0.085,0.145
2020-01-16,0.081,0.115,0.114,0.085,0.147
2020-01-17,0.078,0.119,0.12,0.093,0.152
2020-01-20,0.105,0.134,0.149,0.104,0.163
2020-01-21,0.115,0.143,0.151,0.109,0.172
2020-01-22,0.116,0.145,0.162,0.106,0.176
2020-01-23,0.1,0.132,0.149,0.102,0.163
2020-01-24,0.097,0.132,0.151,0.101,0.164
2020-01-27,0.137,0.159,0.186,0.118,0.188
2020-01-28,0.126,0.151,0.192,0.103,0.181
2020-01-29,0.103,0.134,0.171,0.091,0.166
2020-01-30,0.12,0.154,0.179,0.117,0.187
2020-01-31,0.134,0.164,0.2,0.115,0.199
2020-02-01,0.186,0.21,0.16,0.144,0.246
2020-02-03,0.136,0.15,0.128,0.093,0.178
2020-02-04,0.118,0.134,0.109,0.077,0.163
2020-02-05,0.113,0.13,0.107,0.069,0.162
2020-02-06,0.101,0.132,0.103,0.079,0.165
2020-02-07,0.112,0.143,0.1,0.09,0.179
2020-02-10,0.122,0.14,0.113,0.094,0.168
2020-02-11,0.112,0.13,0.111,0.084,0.158
2020-02-12,0.108,0.127,0.109,0.075,0.156
2020-02-13,0.119,0.141,0.098,0.097,0.172
2020-02-14,0.112,0.139,0.112,0.096,0.171
2020-02-17,0.126,0.145,0.13,0.102,0.173
2020-02-18,0.121,0.143,0.123,0.1,0.172
2020-02-19,0.1,0.127,0.113,0.089,0.156
2020-02-20,0.115,0.141,0.108,0.096,0.171
2020-02-24,0.153,0.169,0.149,0.115,0.197
2020-02-25,0.134,0.155,0.155,0.101,0.184
2020-02-26,0.157,0.173,0.168,0.116,0.203
2020-02-27,0.154,0.171,0.155,0.112,0.201
2020-02-28,0.237,0.254,0.211,0.195,0.286
2020-03-02,0.168,0.182,0.233,0.128,0.209
2020-03-03,0.155,0.17,0.227,0.115,0.198
2020-03-04,0.173,0.189,0.22,0.135,0.22
2020-03-05,0.159,0.181,0.195,0.123,0.214
2020-03-06,0.231,0.248,0.211,0.188,0.281
2020-03-09,0.27,0.284,0.315,0.241,0.312
2020-03-11,0.256,0.271,0.31,0.225,0.301
2020-03-13,0.54,0.556,0.572,0.507,0.588
2020-03-16,0.607,0.619,0.703,0.582,0.643
2020-03-17,0.682,0.696,0.767,0.656,0.722
2020-03-18,0.832,0.846,0.749,0.803,0.875
2020-03-19,0.751,0.766,0.855,0.721,0.796
2020-03-20,0.663,0.68,0.747,0.629,0.712
2020-03-24,0.386,0.394,0.841,0.37,0.41
2020-03-25,0.446,0.456,0.818,0.424,0.477
2020-03-26,0.43,0.441,0.688,0.407,0.463
2020-03-27,0.547,0.56,0.703,0.521,0.586
2020-03-30,0.425,0.434,0.693,0.407,0.452
2020-03-31,0.408,0.418,0.61,0.389,0.437
2020-04-01,0.527,0.538,0.548,0.504,0.561
2020-04-03,0.625,0.639,0.484,0.597,0.667
2020-04-07,0.435,0.445,0.518,0.413,0.467
2020-04-08,0.496,0.509,0.497,0.468,0.536
2020-04-09,0.444,0.457,0.412,0.415,0.485
2020-04-13,0.474,0.487,0.495,0.45,0.512
2020-04-15,0.424,0.438,0.483,0.397,0.464
