date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2019-04-02,0.113,0.128,0.15,0.078,0.155
2019-04-03,0.116,0.148,0.164,0.108,0.182
2019-04-04,0.123,0.156,0.144,0.115,0.191
2019-04-09,0.1,0.132,0.145,0.095,0.166
2019-04-10,0.116,0.152,0.154,0.112,0.188
2019-04-11,0.097,0.14,0.143,0.103,0.179
2019-04-16,0.093,0.123,0.16,0.092,0.152
2019-04-18,0.105,0.145,0.153,0.114,0.178
2019-04-24,0.126,0.153,0.169,0.117,0.182
2019-04-25,0.125,0.158,0.163,0.122,0.191
2019-05-07,0.171,0.186,0.259,0.148,0.213
2019-05-08,0.16,0.192,0.244,0.15,0.224
2019-05-10,0.157,0.193,0.235,0.146,0.23
2019-05-13,0.186,0.199,0.299,0.161,0.222
2019-05-15,0.176,0.19,0.31,0.142,0.217
2019-05-22,0.17,0.185,0.326,0.138,0.213
2019-05-23,0.208,0.224,0.206,0.162,0.256
2019-05-29,0.15,0.162,0.136,0.123,0.187
2019-06-04,0.138,0.151,0.127,0.103,0.178
2019-06-10,0.17,0.184,0.115,0.143,0.209
2019-06-11,0.138,0.154,0.113,0.1,0.183
2019-06-12,0.15,0.17,0.112,0.12,0.201
2019-06-14,0.144,0.17,0.112,0.118,0.203
2019-06-17,0.144,0.16,0.134,0.114,0.189
2019-06-19,0.128,0.152,0.127,0.112,0.183
2019-06-25,0.117,0.136,0.132,0.097,0.164
2019-06-26,0.118,0.136,0.141,0.097,0.164
2019-06-28,0.131,0.16,0.143,0.117,0.193
2019-07-01,0.11,0.131,0.146,0.087,0.16
2019-07-03,0.109,0.136,0.133,0.095,0.168
2019-07-05,0.11,0.151,0.108,0.118,0.188
2019-07-10,0.16,0.193,0.118,0.143,0.229
2019-07-17,0.082,0.119,0.094,0.092,0.151
2019-07-24,0.166,0.182,0.115,0.135,0.211
2019-07-25,0.104,0.139,0.118,0.105,0.172
2019-07-26,0.101,0.135,0.109,0.096,0.168
2019-07-29,0.121,0.145,0.117,0.1,0.173
2019-07-30,0.123,0.147,0.121,0.107,0.177
2019-08-01,0.133,0.161,0.133,0.118,0.194
2019-08-02,0.115,0.148,0.145,0.109,0.183
2019-08-05,0.148,0.169,0.166,0.124,0.199
2019-08-06,0.127,0.148,0.153,0.104,0.179
2019-08-07,0.153,0.175,0.153,0.125,0.208
2019-08-08,0.117,0.144,0.147,0.093,0.178
2019-08-09,0.118,0.15,0.137,0.095,0.186
2019-08-13,0.163,0.182,0.155,0.134,0.211
2019-08-14,0.131,0.148,0.135,0.097,0.177
2019-08-16,0.132,0.157,0.148,0.113,0.189
2019-08-19,0.15,0.164,0.151,0.122,0.191
2019-08-20,0.142,0.161,0.157,0.113,0.19
2019-08-21,0.156,0.176,0.162,0.128,0.206
2019-08-22,0.177,0.199,0.152,0.15,0.231
2019-08-23,0.142,0.163,0.166,0.112,0.195
2019-08-26,0.123,0.136,0.147,0.093,0.16
2019-08-28,0.14,0.159,0.154,0.113,0.188
2019-08-29,0.149,0.169,0.168,0.118,0.199
2019-08-30,0.128,0.157,0.14,0.109,0.19
2019-09-03,0.178,0.193,0.178,0.136,0.222
2019-09-04,0.15,0.167,0.17,0.113,0.197
2019-09-05,0.13,0.157,0.162,0.101,0.19
2019-09-06,0.116,0.147,0.139,0.098,0.182
2019-09-09,0.114,0.13,0.139,0.071,0.16
2019-09-11,0.11,0.138,0.137,0.09,0.173
2019-09-12,0.125,0.16,0.13,0.111,0.198
2019-09-13,0.079,0.132,0.124,0.098,0.174
2019-09-16,0.129,0.152,0.141,0.111,0.182
2019-09-17,0.148,0.172,0.166,0.123,0.202
2019-09-18,0.127,0.151,0.147,0.105,0.182
2019-09-19,0.15,0.176,0.142,0.124,0.208
2019-09-20,0.179,0.194,0.153,0.147,0.223
2019-09-23,0.169,0.181,0.153,0.145,0.203
2019-09-24,0.202,0.215,0.174,0.169,0.241
2019-09-25,0.223,0.236,0.178,0.192,0.262
2019-09-26,0.202,0.216,0.162,0.164,0.244
2019-09-27,0.216,0.232,0.165,0.185,0.261
2019-09-30,0.208,0.22,0.152,0.18,0.243
2019-10-01,0.216,0.23,0.175,0.182,0.255
2019-10-03,0.219,0.234,0.179,0.186,0.263
2019-10-04,0.229,0.244,0.174,0.194,0.274
2019-10-07,0.217,0.23,0.177,0.19,0.255
2019-10-09,0.198,0.213,0.164,0.167,0.241
2019-10-10,0.228,0.243,0.159,0.188,0.274
2019-10-11,0.215,0.231,0.15,0.173,0.263
2019-10-14,0.206,0.218,0.155,0.179,0.243
2019-10-15,0.198,0.211,0.149,0.17,0.237
2019-10-16,0.209,0.223,0.138,0.178,0.252
2019-10-17,0.2,0.215,0.136,0.169,0.243
2019-10-18,0.204,0.218,0.134,0.169,0.247
2019-10-22,0.128,0.151,0.168,0.109,0.18
2019-10-23,0.118,0.147,0.158,0.109,0.177
2019-10-24,0.122,0.149,0.16,0.104,0.18
2019-10-25,0.117,0.149,0.145,0.112,0.182
2019-10-27,0.093,0.138,0.134,0.106,0.176
2019-10-29,0.102,0.115,0.159,0.075,0.141
2019-10-30,0.117,0.136,0.154,0.096,0.164
2019-10-31,0.114,0.143,0.141,0.108,0.174
2019-11-01,0.103,0.139,0.132,0.104,0.173
2019-11-04,0.118,0.136,0.141,0.095,0.163
2019-11-05,0.112,0.135,0.14,0.091,0.165
2019-11-06,0.095,0.124,0.139,0.078,0.155
2019-11-07,0.094,0.127,0.125,0.092,0.161
2019-11-08,0.107,0.146,0.132,0.109,0.183
2019-11-11,0.102,0.127,0.137,0.092,0.155
2019-11-13,0.102,0.139,0.137,0.107,0.171
2019-11-14,0.088,0.126,0.128,0.095,0.159
2019-11-15,0.08,0.122,0.135,0.091,0.157
2019-11-18,0.094,0.127,0.139,0.096,0.158
2019-11-19,0.08,0.116,0.134,0.085,0.148
2019-11-20,0.077,0.118,0.13,0.089,0.15
2019-11-21,0.093,0.128,0.125,0.097,0.16
2019-11-22,0.094,0.135,0.118,0.105,0.169
2019-11-25,0.09,0.107,0.133,0.069,0.133
2019-11-26,0.091,0.125,0.145,0.088,0.156
2019-11-27,0.089,0.118,0.123,0.083,0.149
2019-11-28,0.08,0.114,0.106,0.083,0.146
2019-11-29,0.092,0.131,0.116,0.095,0.166
2019-12-02,0.09,0.116,0.12,0.078,0.146
2019-12-03,0.097,0.127,0.126,0.091,0.158
2019-12-04,0.078,0.116,0.117,0.086,0.15
2019-12-05,0.088,0.126,0.106,0.094,0.16
2019-12-06,0.101,0.138,0.121,0.102,0.174
2019-12-09,0.083,0.124,0.122,0.093,0.159
2019-12-10,0.102,0.139,0.133,0.101,0.173
2019-12-11,0.079,0.124,0.118,0.095,0.161
2019-12-12,0.066,0.121,0.123,0.094,0.16
2019-12-13,0.063,0.118,0.129,0.085,0.159
2019-12-16,0.098,0.129,0.124,0.097,0.158
2019-12-17,0.08,0.112,0.113,0.083,0.141
2019-12-18,0.08,0.113,0.11,0.087,0.143
2019-12-19,0.082,0.117,0.101,0.085,0.147
2019-12-20,0.066,0.115,0.106,0.095,0.15
2019-12-23,0.081,0.111,0.111,0.082,0.138
2019-12-24,0.075,0.115,0.112,0.089,0.145
2019-12-26,0.085,0.126,0.108,0.098,0.159
2019-12-27,0.062,0.107,0.096,0.081,0.141
2019-12-30,0.081,0.107,0.104,0.073,0.135
2019-12-31,0.092,0.123,0.119,0.09,0.153
2020-01-01,0.076,0.112,0.104,0.081,0.144
2020-01-02,0.064,0.099,0.098,0.068,0.131
2020-01-03,0.083,0.123,0.098,0.089,0.158
2020-01-06,0.114,0.14,0.14,0.1,0.17
2020-01-07,0.086,0.118,0.131,0.082,0.15
2020-01-08,0.092,0.129,0.139,0.091,0.162
2020-01-09,0.073,0.109,0.125,0.077,0.143
2020-01-10,0.086,0.122,0.116,0.09,0.155
2020-01-13,0.094,0.114,0.123,0.074,0.141
