date,lowerIV,higherIV,actualIV,LowerLimIV,UpperLimIV
2019-04-02,0.123,0.133,0.153,0.103,0.144
2019-04-03,0.136,0.147,0.165,0.116,0.157
2019-04-04,0.128,0.139,0.157,0.107,0.149
2019-04-09,0.114,0.126,0.157,0.09,0.138
2019-04-10,0.129,0.141,0.158,0.104,0.154
2019-04-11,0.127,0.14,0.153,0.101,0.153
2019-04-16,0.122,0.134,0.128,0.098,0.146
2019-04-18,0.126,0.133,0.262,0.111,0.141
2019-04-24,0.102,0.11,0.244,0.086,0.119
2019-04-25,0.098,0.107,0.235,0.082,0.115
2019-05-07,0.13,0.14,0.287,0.11,0.15
2019-05-08,0.128,0.138,0.291,0.107,0.148
2019-05-10,0.12,0.13,0.28,0.098,0.141
2019-05-13,0.122,0.134,0.32,0.099,0.146
2019-05-15,0.127,0.14,0.331,0.102,0.152
2019-05-22,0.166,0.183,0.423,0.133,0.2
2019-05-23,0.2,0.219,0.216,0.164,0.237
2019-05-29,0.16,0.169,0.136,0.142,0.178
2019-06-04,0.17,0.18,0.132,0.15,0.191
2019-06-10,0.151,0.158,0.126,0.136,0.165
2019-06-11,0.168,0.185,0.102,0.136,0.201
2019-06-12,0.147,0.154,0.121,0.132,0.161
2019-06-14,0.16,0.168,0.121,0.145,0.176
2019-06-17,0.138,0.153,0.131,0.107,0.169
2019-06-19,0.147,0.155,0.127,0.131,0.163
2019-06-25,0.11,0.119,0.139,0.092,0.128
2019-06-26,0.134,0.147,0.152,0.109,0.159
2019-06-28,0.122,0.131,0.143,0.103,0.14
2019-07-01,0.119,0.129,0.138,0.1,0.139
2019-07-03,0.095,0.105,0.127,0.074,0.116
2019-07-05,0.105,0.116,0.106,0.083,0.127
2019-07-10,0.134,0.146,0.112,0.109,0.159
2019-07-17,0.132,0.139,0.094,0.117,0.147
2019-07-24,0.115,0.123,0.111,0.099,0.131
2019-07-25,0.122,0.13,0.118,0.105,0.138
2019-07-26,0.122,0.141,0.11,0.083,0.161
2019-07-29,0.12,0.129,0.111,0.103,0.138
2019-07-30,0.125,0.134,0.109,0.107,0.143
2019-08-01,0.134,0.143,0.131,0.115,0.152
2019-08-02,0.12,0.129,0.135,0.101,0.138
2019-08-05,0.122,0.132,0.153,0.102,0.142
2019-08-06,0.102,0.112,0.143,0.082,0.122
2019-08-07,0.133,0.143,0.146,0.112,0.153
2019-08-08,0.118,0.128,0.143,0.097,0.138
2019-08-09,0.139,0.15,0.134,0.118,0.161
2019-08-13,0.167,0.179,0.151,0.143,0.191
2019-08-14,0.146,0.159,0.136,0.122,0.171
2019-08-16,0.134,0.142,0.147,0.119,0.149
2019-08-19,0.122,0.134,0.168,0.099,0.145
2019-08-20,0.136,0.144,0.153,0.12,0.152
2019-08-21,0.122,0.135,0.154,0.097,0.147
2019-08-22,0.161,0.179,0.152,0.125,0.197
2019-08-23,0.166,0.186,0.181,0.127,0.206
2019-08-26,0.157,0.166,0.145,0.14,0.174
2019-08-28,0.142,0.151,0.153,0.124,0.16
