date,lowerIV,higherIV,actualIV
2019-04-02,0.093,0.103,0.153
2019-04-03,0.105,0.116,0.165
2019-04-04,0.107,0.117,0.157
2019-04-09,0.09,0.102,0.157
2019-04-10,0.116,0.129,0.158
2019-04-11,0.114,0.127,0.153
2019-04-16,0.11,0.122,0.128
2019-04-18,0.096,0.103,0.262
2019-04-24,0.119,0.127,0.244
2019-04-25,0.115,0.123,0.235
2019-05-07,0.11,0.12,0.287
2019-05-08,0.138,0.148,0.291
2019-05-10,0.13,0.141,0.28
2019-05-13,0.134,0.146,0.32
2019-05-15,0.14,0.152,0.331
2019-05-22,0.116,0.133,0.423
2019-05-23,0.146,0.164,0.216
2019-05-29,0.142,0.151,0.136
2019-06-04,0.13,0.14,0.132
2019-06-10,0.129,0.136,0.126
2019-06-11,0.104,0.12,0.102
2019-06-12,0.139,0.147,0.121
2019-06-14,0.122,0.13,0.121
2019-06-17,0.123,0.138,0.131
2019-06-19,0.131,0.139,0.127
2019-06-25,0.128,0.137,0.139
2019-06-26,0.109,0.122,0.152
2019-06-28,0.103,0.113,0.143
2019-07-01,0.129,0.139,0.138
2019-07-03,0.095,0.105,0.127
2019-07-05,0.105,0.116,0.106
2019-07-10,0.109,0.121,0.112
2019-07-17,0.124,0.132,0.094
2019-07-24,0.115,0.123,0.111
2019-07-25,0.138,0.146,0.118
2019-07-26,0.122,0.141,0.11
2019-07-29,0.155,0.164,0.111
2019-07-30,0.16,0.169,0.109
2019-08-01,0.134,0.143,0.131
2019-08-02,0.129,0.138,0.135
2019-08-05,0.132,0.142,0.153
2019-08-06,0.112,0.122,0.143
2019-08-07,0.143,0.153,0.146
2019-08-08,0.118,0.128,0.143
2019-08-09,0.118,0.128,0.134
2019-08-13,0.143,0.155,0.151
2019-08-14,0.146,0.159,0.136
2019-08-16,0.127,0.134,0.147
2019-08-19,0.122,0.134,0.168
2019-08-20,0.128,0.136,0.153
2019-08-21,0.122,0.135,0.154
2019-08-22,0.107,0.125,0.152
2019-08-23,0.127,0.147,0.181
2019-08-26,0.122,0.131,0.145
2019-08-28,0.133,0.142,0.153
2019-08-29,0.135,0.144,0.16
2019-08-30,0.127,0.136,0.148
2019-09-03,0.103,0.113,0.179
2019-09-04,0.108,0.118,0.175
2019-09-05,0.131,0.141,0.169
2019-09-06,0.053,0.073,0.134
2019-09-09,0.076,0.088,0.146
2019-09-11,0.052,0.069,0.137
2019-09-12,0.059,0.077,0.12
2019-09-13,0.103,0.114,0.137
2019-09-16,0.099,0.111,0.144
2019-09-17,0.121,0.128,0.15
2019-09-18,0.078,0.091,0.149
2019-09-19,0.122,0.13,0.142
2019-09-20,0.155,0.163,0.136
2019-09-23,0.125,0.133,0.142
2019-09-24,0.116,0.124,0.151
2019-09-25,0.15,0.158,0.157
2019-09-26,0.124,0.132,0.153
2019-09-27,0.113,0.121,0.156
2019-09-30,0.115,0.124,0.156
2019-10-01,0.125,0.134,0.169
2019-10-03,0.129,0.138,0.171
