date,lowerIV,higherIV,actualIV
2019-10-04,0.136,0.145,0.171
2019-10-07,0.111,0.121,0.176
2019-10-09,0.161,0.171,0.164
2019-10-10,0.128,0.138,0.157
2019-10-11,0.175,0.186,0.152
2019-10-14,0.142,0.153,0.152
2019-10-15,0.142,0.154,0.148
2019-10-16,0.127,0.139,0.143
2019-10-17,0.116,0.127,0.141
2019-10-18,0.118,0.129,0.141
2019-10-22,0.1,0.112,0.177
2019-10-23,0.071,0.083,0.162
2019-10-24,0.087,0.1,0.165
2019-10-25,0.084,0.093,0.147
2019-10-27,0.091,0.099,0.139
2019-10-29,0.091,0.1,0.159
2019-10-30,0.09,0.099,0.156
2019-10-31,0.082,0.091,0.145
2019-11-01,0.078,0.087,0.14
2019-11-04,0.085,0.095,0.145
2019-11-05,0.072,0.089,0.142
2019-11-06,0.079,0.096,0.139
2019-11-07,0.072,0.083,0.135
2019-11-08,0.076,0.087,0.14
2019-11-11,0.083,0.095,0.14
2019-11-13,0.066,0.079,0.14
2019-11-14,0.062,0.076,0.136
2019-11-15,0.061,0.072,0.141
2019-11-18,0.075,0.087,0.145
2019-11-19,0.077,0.085,0.144
2019-11-20,0.075,0.083,0.136
2019-11-21,0.091,0.104,0.119
2019-11-22,0.072,0.08,0.126
2019-11-25,0.073,0.082,0.142
2019-11-26,0.091,0.1,0.146
2019-11-27,0.088,0.097,0.134
2019-11-28,0.09,0.099,0.122
2019-11-29,0.104,0.124,0.105
2019-12-02,0.082,0.092,0.128
2019-12-03,0.086,0.096,0.134
2019-12-04,0.089,0.1,0.128
2019-12-05,0.101,0.111,0.118
2019-12-06,0.102,0.113,0.126
2019-12-09,0.097,0.109,0.128
2019-12-10,0.08,0.097,0.133
2019-12-11,0.102,0.112,0.132
2019-12-12,0.102,0.115,0.137
2019-12-13,0.098,0.109,0.131
2019-12-16,0.089,0.097,0.122
2019-12-17,0.087,0.094,0.118
2019-12-18,0.086,0.094,0.117
2019-12-19,0.092,0.1,0.11
2019-12-20,0.089,0.097,0.119
2019-12-23,0.066,0.074,0.122
2019-12-24,0.098,0.11,0.114
2019-12-26,0.085,0.093,0.115
2019-12-27,0.08,0.088,0.112
2019-12-30,0.081,0.09,0.114
2019-12-31,0.078,0.087,0.123
2020-01-01,0.077,0.086,0.109
2020-01-02,0.08,0.089,0.107
2020-01-03,0.081,0.094,0.094
2020-01-06,0.104,0.114,0.14
2020-01-07,0.105,0.117,0.147
2020-01-08,0.097,0.108,0.14
2020-01-09,0.102,0.113,0.132
2020-01-10,0.099,0.108,0.151
2020-01-13,0.112,0.124,0.115
2020-01-14,0.109,0.125,0.106
2020-01-15,0.096,0.103,0.137
2020-01-16,0.093,0.101,0.131
2020-01-17,0.096,0.104,0.136
2020-01-20,0.112,0.124,0.173
2020-01-21,0.113,0.121,0.167
2020-01-22,0.106,0.119,0.19
2020-01-23,0.116,0.124,0.152
2020-01-24,0.112,0.12,0.151
2020-01-27,0.111,0.119,0.164
2020-01-28,0.119,0.127,0.168
2020-01-29,0.096,0.105,0.152
2020-01-30,0.132,0.141,0.152
2020-01-31,0.098,0.118,0.242
2020-02-01,0.127,0.137,0.137
2020-02-03,0.136,0.146,0.125
2020-02-04,0.112,0.122,0.106
2020-02-05,0.111,0.121,0.106
2020-02-06,0.115,0.126,0.104
2020-02-07,0.13,0.15,0.093
2020-02-10,0.183,0.198,0.113
2020-02-11,0.141,0.148,0.116
2020-02-12,0.106,0.116,0.107
2020-02-13,0.139,0.147,0.113
2020-02-14,0.123,0.13,0.112
2020-02-17,0.128,0.136,0.128
2020-02-18,0.131,0.139,0.119
2020-02-19,0.14,0.148,0.115
2020-02-20,0.141,0.149,0.109
2020-02-24,0.139,0.154,0.159
2020-02-25,0.148,0.157,0.148
2020-02-26,0.133,0.142,0.159
2020-02-27,0.134,0.143,0.147
2020-02-28,0.166,0.175,0.173
2020-03-02,0.167,0.177,0.227
2020-03-03,0.182,0.192,0.213
2020-03-04,0.168,0.178,0.216
2020-03-05,0.164,0.174,0.205
2020-03-06,0.256,0.275,0.216
2020-03-09,0.214,0.226,0.317
2020-03-11,0.205,0.217,0.31
2020-03-13,0.339,0.358,0.599
2020-03-16,0.184,0.191,0.581
2020-03-17,0.188,0.195,0.668
2020-03-18,0.386,0.404,0.782
2020-03-19,0.356,0.374,0.897
2020-03-20,0.35,0.369,0.783
2020-03-24,0.2,0.208,0.841
2020-03-25,0.194,0.202,0.761
2020-03-26,0.228,0.236,0.642
2020-03-27,0.167,0.175,0.636
2020-03-30,0.192,0.201,0.697
2020-03-31,0.196,0.205,0.61
2020-04-01,0.25,0.259,0.58
2020-04-03,0.272,0.281,0.529
2020-04-07,0.201,0.212,0.517
2020-04-08,0.203,0.213,0.489
2020-04-09,0.199,0.21,0.423
2020-04-13,0.167,0.179,0.487
2020-04-15,0.267,0.279,0.477
