date,lowerIV,higherIV,actualIV
2019-04-10,0.156,0.181,0.232
2019-04-11,0.128,0.165,0.219
2019-04-18,0.106,0.121,0.255
2019-04-24,0.155,0.166,0.26
2019-04-25,0.14,0.153,0.25
2019-05-07,0.135,0.153,0.292
2019-05-08,0.108,0.133,0.194
2019-05-10,0.117,0.134,0.297
2019-05-13,0.129,0.139,0.293
2019-05-15,0.099,0.135,0.377
2019-05-22,0.144,0.156,0.276
2019-05-23,0.124,0.139,0.194
2019-06-11,0.098,0.114,0.112
2019-06-12,0.097,0.111,0.108
2019-06-26,0.046,0.106,0.16
2019-07-10,0.104,0.122,0.094
2019-07-24,0.12,0.13,0.112
2019-07-26,0.076,0.101,0.105
2019-07-29,0.132,0.143,0.105
2019-07-30,0.137,0.148,0.097
2019-08-01,0.07,0.092,0.141
2019-08-05,0.113,0.128,0.158
2019-08-13,0.107,0.121,0.166
2019-08-22,0.096,0.108,0.165
2019-08-28,0.13,0.146,0.152
2019-08-29,0.127,0.143,0.182
2019-08-30,0.069,0.111,0.163
2019-09-03,0.143,0.161,0.194
2019-09-05,0.158,0.175,0.161
2019-09-09,0.111,0.144,0.165
2019-09-11,0.134,0.166,0.155
2019-09-16,0.133,0.143,0.152
2019-09-17,0.114,0.127,0.148
2019-09-18,0.181,0.189,0.15
2019-09-19,0.085,0.099,0.141
2019-09-23,0.13,0.143,0.148
2019-09-25,0.14,0.153,0.179
2019-10-27,0.107,0.125,0.15
2019-10-30,0.105,0.125,0.175
2019-11-29,0.066,0.109,0.143
2019-12-12,0.077,0.15,0.233
2019-12-30,0.067,0.103,0.145
2020-01-20,0.128,0.182,0.226
2020-01-21,0.139,0.151,0.179
2020-01-23,0.135,0.149,0.156
2020-01-24,0.073,0.101,0.169
2020-01-27,0.092,0.113,0.175
2020-01-28,0.089,0.115,0.174
2020-01-29,0.075,0.106,0.156
2020-02-01,0.125,0.157,0.134
2020-02-03,0.12,0.139,0.092
2020-02-10,0.143,0.152,0.103
2020-02-13,0.118,0.131,0.081
2020-02-14,0.125,0.165,0.073
2020-02-17,0.152,0.163,0.134
2020-02-24,0.129,0.141,0.139
2020-02-25,0.114,0.13,0.149
2020-02-27,0.131,0.144,0.138
2020-02-28,0.131,0.142,0.172
2020-03-02,0.132,0.147,0.229
2020-03-03,0.105,0.129,0.241
2020-03-04,0.121,0.139,0.223
2020-03-05,0.085,0.117,0.197
2020-03-06,0.121,0.138,0.21
2020-03-09,0.202,0.214,0.317
2020-03-16,0.169,0.177,0.581
2020-03-17,0.259,0.275,0.86
2020-03-18,0.512,0.53,0.782
2020-03-19,0.219,0.239,0.919
2020-03-24,0.13,0.14,0.874
2020-04-01,0.107,0.122,0.604
